"page","block","type","y0","y1","file","ocr_heading"
"145","1","idiom","34","269","turn-to-3.png","turn to"
"145","2","idiom","271","516","turn-away.png","turn away"
"145","3","idiom","518","763","turn-back.png","turn back"
"145","4","idiom","765","1010","turn-over.png","turn over (~)"
"146","1","idiom","34","267","turn-over-2.png","turn over ~"
"146","2","idiom","269","513","turn-into.png","turn into -"
"146","3","idiom","515","761","turn-down.png","turn down"
"146","4","idiom","763","1010","turn-down-2.png","turn down -"
"147","1","idiom","34","266","turn-off.png","turn off (~)"
"147","2","idiom","268","521","turn-off-2.png","turn off (~)"
"147","3","idiom","523","765","turn-on.png","turn on (~)"
"147","4","idiom","767","1010","turn-up.png","turn up"
"148","1","idiom","34","270","turn-up-2.png","turn up"
"148","2","idiom","272","516","turn-up-3.png","turn up"
"148","3","idiom","518","761","turn-up-4.png","turn up"
"148","4","idiom","763","1010","turn-out.png","turn out (~)"
"149","1","idiom","34","272","turn-out-2.png","turn out ~"
"149","2","idiom","274","519","turn-inside-out.png","turn ~ inside | out"
"149","3","idiom","521","768","turn-upside-down.png","turn ~ upside | down"
"149","4","idiom","770","1010","turn-in.png","turn in"
"150","","page","0","1061","get.png","get"
"151","","page","0","1060","get-2.png","get"
"152","1","idiom","34","266","get-across.png","get across ~"
"152","2","idiom","268","516","get-around.png","get around"
"152","3","idiom","518","760","get-up.png","get (~) up"
"152","4","idiom","762","1010","get-to.png","get to"
"153","1","idiom","34","266","get-over.png","get over ~"
"153","2","idiom","268","513","get-through.png","get through"
"153","3","idiom","515","758","get-out.png","get out"
"153","4","idiom","760","1010","get-out-of.png","get out of ~"
"154","1","idiom","34","266","get-off.png","get off (~)"
"154","2","idiom","268","513","get-on.png","get on (~)"
"154","3","idiom","515","759","get-on-2.png","get on"
"154","4","idiom","761","1010","get-along-with.png","get along with ~"
"155","1","idiom","34","264","get-at.png","get at ~"
"155","2","idiom","266","511","get-away.png","get away"
"155","3","idiom","513","761","get-ahead.png","get ahead"
"155","4","idiom","763","1010","get-down.png","get down (~)"
"156","1","idiom","34","263","get-down-to.png","get down to"
"156","2","idiom","265","511","get-in.png","get in"
"156","3","idiom","513","760","get-in-2.png","get in"
"156","4","idiom","762","1010","get-into.png","get into"
"157","1","idiom","34","266","get-into-2.png","get into"
"157","2","idiom","268","512","get-into-3.png","get into"
"157","3","idiom","514","758","get-into-4.png","get into"
"157","4","idiom","760","1010","get-into-5.png","get into"
"158","","page","0","1062","bring-take-carry.png","bring-take-carry"
"159","","page","0","1062","bring-take-carry-2.png","bring-take-carry"
"160","1","idiom","34","266","bring-up.png","bring up"
"160","2","idiom","268","510","bring-about.png","bring about ~"
"160","3","idiom","512","758","bring-back.png","bring back ~"
"160","4","idiom","760","1010","bring-back-2.png","bring back ~"
"161","1","idiom","34","269","bring-down.png","bring down"
"161","2","idiom","271","518","bring-down-2.png","bring down"
"161","3","idiom","520","764","bring-out.png","bring out ~"
"161","4","idiom","766","1010","bring-out-2.png","bring out ~"
"162","1","idiom","34","277","away-3.png","carryaway"
"162","2","idiom","279","514","carry-away.png","carry away"
"162","3","idiom","516","755","carry-back-to-b.png","carry A back | to B"
"162","4","idiom","757","1010","carry-off.png","carry off ~"
"163","1","idiom","34","268","carry-on-with.png","carry on | (with ~)"
"163","2","idiom","270","522","carry-out.png","carry out ~"
"163","3","idiom","524","760","carry-over.png","carry over"
"163","4","idiom","762","1010","through-carryt-with.png","through | carryt | with ~"
"164","","page","0","1061","put-set.png","put-set"
"165","","page","0","1060","put-set-2.png","put-set"
"166","1","idiom","34","267","put-aside.png","put ~ aside"
"166","2","idiom","269","519","put-aside-2.png","put ~ aside"
"166","3","idiom","521","761","put-away.png","put ~ away"
"166","4","idiom","763","1010","put-back.png","put ~ back"
"167","1","idiom","34","265","put-back-2.png","put ~ back"
"167","2","idiom","267","509","put-in.png","put in "
"167","3","idiom","511","755","put-in-2.png","put in"
"167","4","idiom","757","1010","put-into-b.png","put A into B"
"168","1","idiom","34","266","put-into-b-2.png","put A into B"
"168","2","idiom","268","509","put-together.png","put ~ together"
"168","3","idiom","511","757","put-down.png","put ~ down"
"168","4","idiom","759","1010","put-down-2.png","put ~ down"
"169","1","idiom","34","263","put-down-3.png","put down ~"
"169","2","idiom","265","512","put-down-4.png","put down"
"169","3","idiom","514","759","put-on.png","put ~ on"
"169","4","idiom","761","1010","put-on-2.png","put on ~"
"170","1","idiom","34","264","put-on-3.png","put ~ on"
"170","2","idiom","266","514","put-up.png","put (~) up"
"170","3","idiom","516","761","put-up-2.png","put (~) up"
"170","4","idiom","763","1010","put-up-3.png","put (~) up"
"171","1","idiom","34","267","put-up-with.png","put up with"
"171","2","idiom","269","513","put-through-to-b.png","put A through | to B"
"171","3","idiom","515","756","put-out.png","put (~) out"
"171","4","idiom","758","1010","put-off.png","put off ~"
"172","1","idiom","34","263","set-off.png","set off"
"172","2","idiom","265","513","set-off-2.png","set off ~"
"172","3","idiom","515","762","set-in.png","set in"
"172","4","idiom","764","1010","set-out.png","set out"
"173","1","idiom","34","271","set-out-2.png","set out"
"173","2","idiom","273","517","set-about.png","set about ~"
"173","3","idiom","519","763","set-up.png","set up"
"173","4","idiom","765","1010","set-up-2.png","set up"
"174","","page","0","1060","pull-draw-push-press.png","pull-draw-push-press"
"175","","page","0","1060","pull-draw-push-press-2.png","pull-draw-push-press"
"176","1","idiom","34","264","pull-down.png","pull down ~"
"176","2","idiom","266","514","pull-down-2.png","pull down ~"
"176","3","idiom","516","756","pull-back.png","pull back (~)"
"176","4","idiom","758","1010","pull-in.png","pull in"
"177","1","idiom","34","262","pull-in-2.png","pull in "
"177","2","idiom","264","508","pull-off.png","pull off ~"
"177","3","idiom","510","756","pull-off-2.png","pull off ~"
"177","4","idiom","758","1010","pull-on.png","pull on ~"
"178","1","idiom","34","263","pull-out.png","pull out ~"
"178","2","idiom","265","510","pull-out-2.png","pull out"
"178","3","idiom","512","759","pull-over.png","pull over"
"178","4","idiom","761","1010","dn-iind.png","dn Iind"
"179","1","idiom","34","269","dn-iind-2.png","dn Iind"
"179","2","idiom","271","514","dn-iind-3.png","(~) dn Iind"
"179","3","idiom","516","760","pull-t-through.png","pull t | through"
"179","4","idiom","762","1010","pull-together.png","pull together"
"180","1","idiom","34","267","draw-out.png","draw out ~"
"180","2","idiom","269","514","draw-up.png","draw up"
"180","3","idiom","516","756","draw-up-2.png","draw up"
"180","4","idiom","758","1010","draw-back.png","draw back (~)"
"181","1","idiom","34","269","push-around.png","push ~ around"
"181","2","idiom","271","515","push-off.png","push off"
"181","3","idiom","517","765","push-over.png","push over ~"
"181","4","idiom","767","1010","push-through.png","push ~ through"
"182","1","idiom","34","270","push-aside.png","push aside"
"182","2","idiom","272","520","push-forward-with.png","push forward | (with ~)"
"182","3","idiom","522","764","push-dnl.png","push | dnL"
"182","4","idiom","766","1010","push-out.png","push out ~"
"183","1","idiom","34","267","press-push-on-with.png","press/push | on with ~"
"183","2","idiom","269","515","press-push-for.png","press/push | for ~"
"183","3","idiom","517","758","press-on-b.png","press A on B"
"183","4","idiom","760","1010","press-into.png","press into"
"184","","page","0","1062","keep-hold-leave.png","keep-hold-leave"
"185","","page","0","1059","keep-hold-leave-2.png","keep-hold-leave"
"186","1","idiom","34","267","keep-back.png","keep back"
"186","2","idiom","269","513","keep-back-2.png","keep back~"
"186","3","idiom","515","762","keep-back-3.png","keep back~"
"186","4","idiom","764","1010","keep-down.png","keep down"
"187","1","idiom","34","274","keep-down-2.png","keep ~ down"
"187","2","idiom","276","518","keep-off.png","keep off (~)"
"187","3","idiom","520","767","keep-out.png","keep out (~)"
"187","4","idiom","769","1010","keep-up.png","keep up"
"188","1","idiom","34","271","keep-up-with.png","keep up with "
"188","2","idiom","273","521","keep-on-ing.png","keep on ~ing"
"188","3","idiom","523","765","keep-in.png","keep ~ in"
"188","4","idiom","767","1010","keep-from-ing.png","keep A from ~ing"
"189","1","idiom","34","269","keep-away.png","keep ~ away"
"189","2","idiom","271","519","keep-away-from.png","keep away | from ~"
"189","3","idiom","521","762","keep-to.png","keep to"
"189","4","idiom","764","1010","keep-to-oneself.png","keep (~) to | oneself"
"190","1","idiom","34","262","hold-up.png","hold up"
"190","2","idiom","264","515","hold-up-2.png","hold up"
"190","3","idiom","517","763","hold-back.png","hold back"
"190","4","idiom","765","1010","hold-down.png","hold down ~"
"191","1","idiom","34","267","hold-down-2.png","hold down~"
"191","2","idiom","269","514","hold-off.png","hold off ~"
"191","3","idiom","516","763","hold-on.png","hold on"
"191","4","idiom","765","1010","hold-on-to.png","hold on to "
"192","1","idiom","34","269","hold-out.png","hold out ~"
"192","2","idiom","271","513","hold-out-2.png","hold out"
"192","3","idiom","515","761","hold-in.png","hold in "
"192","4","idiom","763","1010","hold-over.png","hold over ~"
"193","1","idiom","34","263","leave-out.png","leave out ~"
"193","2","idiom","265","516","leave-off.png","leave off (~)"
"193","3","idiom","518","761","leave-over.png","leave ~ over"
"193","4","idiom","763","1010","leave-for.png","leave for"
"194","","page","0","1062","take-give.png","take-give"
"195","","page","0","1060","take-give-2.png","take-give"
"196","1","idiom","34","269","take-for-b.png","take A for B"
"196","2","idiom","271","514","take-after.png","take after ~"
